epoch,train_loss,train_top1,train_top5,train_eval_loss,train_eval_top1,train_eval_top5,val_loss,val_top1,val_top5,time_s
1,3.818315,32.7143,58.3514,2.925547,51.0057,78.5257,2.973167,49.0743,76.7543,993.007
2,1.504064,63.2457,87.0886,0.749442,80.6371,95.62,0.863665,76.5943,94.1486,1207.123
3,0.912785,75.0543,93.5571,0.503436,86.0143,97.42,0.702407,80.7543,95.5657,1209.087
4,0.721023,79.9257,95.6171,0.361742,90.0229,98.3657,0.613258,83.2229,96.1143,1197.028
5,0.596753,83.28,96.8,0.28349,92.0914,98.9429,0.583954,83.8629,96.6857,1176.132
6,0.515224,85.3771,97.4571,0.229273,93.7629,99.2543,0.563743,84.0,96.5257,1184.235
7,0.435616,87.6486,98.1629,0.209851,95.2743,99.5571,0.541929,84.5486,96.7314,1187.443
8,0.386012,88.8457,98.5371,0.141045,96.3143,99.6886,0.53892,84.8914,96.8457,1197.487
9,0.341283,90.3314,98.82,0.119957,96.8714,99.8086,0.542074,85.0057,97.0743,1182.456
10,0.299813,91.3714,99.0629,0.095327,97.6629,99.8543,0.526703,85.1886,97.0743,1181.501
11,0.269901,92.2686,99.2914,0.089138,98.08,99.9029,0.522518,85.6457,97.0057,1182.002
12,0.248817,92.8886,99.3657,0.067993,98.4571,99.9314,0.525917,85.7829,97.0743,1182.82
13,0.229097,93.54,99.48,0.065682,98.6143,99.9343,0.524504,85.8971,97.0514,1182.686
14,0.216002,93.9086,99.5057,0.051168,98.9143,99.9571,0.519596,85.8743,97.0514,1184.82
15,0.20405,94.3857,99.5914,0.054286,99.0,99.9686,0.515718,86.0571,97.2114,1181.68
16,0.189453,94.8486,99.6771,0.045362,99.0543,99.9714,0.518199,85.8743,97.1657,1183.064
17,0.182369,94.9771,99.6743,0.044334,99.1114,99.9714,0.517581,86.2629,97.28,1182.175
18,0.180444,95.0714,99.6914,0.044457,99.1057,99.9629,0.51962,85.8286,97.2343,1183.348
19,0.176889,95.2543,99.6657,0.043294,99.1971,99.9686,0.516888,86.08,97.1886,1181.969
20,0.17493,95.3886,99.7057,0.043634,99.18,99.9686,0.513808,86.1943,97.1886,1182.911
