epoch,train_loss,train_top1,train_top5,train_eval_loss,train_eval_top1,train_eval_top5,val_loss,val_top1,val_top5,time_s
1,3.597143,16.5639,32.3272,2.496145,55.8957,82.0651,2.563766,53.0184,80.1843,1005.987
2,3.126251,22.5979,39.2022,2.226877,61.0743,85.2707,2.343671,57.8802,82.4885,989.366
3,3.099428,23.3237,39.8502,2.162407,62.9435,86.6129,2.29385,59.7926,83.7327,994.343
4,2.542924,32.5403,47.0593,1.538128,82.5173,96.0801,1.684549,77.5115,94.3318,3379.85
5,2.257133,39.1158,51.6273,1.345559,87.8427,97.7074,1.534088,81.3364,95.8065,4288.722
6,2.107191,39.8531,51.0858,1.256535,90.8525,98.6002,1.475689,82.8111,96.5899,4711.581
7,1.997799,41.6561,51.7079,1.175675,93.0444,99.1388,1.42698,84.4009,96.7972,4790.524
8,1.955304,42.2955,52.1429,1.137182,94.4326,99.424,1.424369,84.3779,96.7512,4533.384
9,1.862865,45.3802,54.735,1.093931,95.5904,99.6285,1.401089,84.8848,96.682,4782.816
10,1.849099,45.3024,54.4268,1.083761,96.4487,99.7293,1.4125,85.4378,96.9124,4678.782
11,1.772815,46.2414,54.4297,1.02414,97.1198,99.8474,1.369996,85.3226,97.0737,4612.165
12,1.751188,45.2477,53.1048,0.992272,97.7823,99.9107,1.347565,85.9908,96.7742,4186.363
13,1.70494,46.731,54.3952,0.989241,98.22,99.9424,1.35369,86.2442,96.9124,4187.814
14,1.70109,46.8088,54.0495,0.980707,98.5829,99.9366,1.35385,86.4747,96.9355,4168.059
15,1.661235,49.6515,57.0132,0.948754,98.8652,99.9626,1.320846,86.5438,96.9816,4106.635
16,1.663274,47.765,54.8099,0.947804,99.0524,99.9712,1.322826,86.4747,97.0507,4142.585
17,1.629629,48.3698,55.2275,0.928936,99.1273,99.9798,1.317779,86.7051,96.7281,4136.884
18,1.641861,49.9568,56.8548,0.926142,99.28,99.9539,1.315806,86.7281,96.8894,4083.831
19,1.550737,48.6838,54.7206,0.926354,99.4268,99.9626,1.326525,86.7972,96.8894,4102.531
20,1.562218,48.5426,54.8762,0.908069,99.5276,99.9942,1.323376,86.6359,96.6359,4239.081
21,1.52454,47.2033,53.1221,0.907177,99.5507,99.9942,1.313946,87.1659,96.8433,4371.6
22,1.550166,50.4176,56.7252,0.898699,99.5737,99.9914,1.312199,86.682,96.6129,4292.525
23,1.553252,50.1555,56.2817,0.910143,99.6198,99.9856,1.326852,86.7281,96.7512,4040.333
24,1.51229,50.7056,56.7022,0.899875,99.7408,100.0,1.313256,87.1889,96.9585,4407.877
25,1.504398,50.2448,55.9418,0.892715,99.7581,100.0,1.308477,86.9124,96.7281,4575.459
