epoch,train_loss,train_top1,train_eval_loss,train_eval_top1,val_loss,val_top1,time_s
1,0.406374,72.0823,0.288498,97.0403,0.289,95.5645,261.413
2,0.39976,72.817,0.279776,97.754,0.278122,97.9839,249.002
3,0.39319,73.6566,0.273151,97.796,0.277791,97.5806,244.663
4,0.364348,74.3073,0.235578,99.3283,0.245729,98.3871,1182.193
5,0.327764,74.2024,0.221577,99.5277,0.231604,98.7903,1180.22
6,0.309527,76.102,0.214925,99.7481,0.225082,99.1935,1184.558
7,0.300642,75.4408,0.210571,99.7481,0.222454,99.1935,1183.548
8,0.304622,75.2834,0.214543,99.8846,0.228438,99.1935,1184.993
9,0.305408,76.8682,0.204979,99.937,0.215946,99.1935,1184.199
10,0.286358,76.9521,0.204816,99.9895,0.218014,99.5968,1188.053
11,0.292172,75.6192,0.202391,99.9895,0.216048,99.5968,1189.189
12,0.296182,76.6583,0.207235,100.0,0.217919,99.5968,1188.844
13,0.287313,77.5084,0.202817,99.9895,0.215673,99.5968,1192.635
14,0.296728,75.6402,0.203631,100.0,0.215827,99.5968,1195.409
15,0.295126,73.814,0.201641,100.0,0.21386,99.5968,1196.231
16,0.291259,76.3959,0.201644,100.0,0.213469,99.5968,1198.079
17,0.284019,78.9463,0.206091,100.0,0.217764,99.5968,1200.246
18,0.28568,77.7183,0.20615,99.9895,0.217415,99.5968,1205.566
19,0.28651,75.4303,0.204705,100.0,0.215601,99.5968,1209.958
20,0.285931,76.3329,0.204137,100.0,0.214599,99.5968,1208.669
